tag,question_principale,questions_alternatives,reponse_courte,reponse_longue,categorie,mots_cles,priorite,tags_associes
mission_prelevement_accreditation,L'essai « MISSION DE PRÉLÈVEMENT » est-il accrédité ?,accréditation de l'essai mission de prélèvement | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour mission de prélèvement | mission de prélèvement accrédité,"Non, l'essai « MISSION DE PRÉLÈVEMENT » n'est pas accrédité.",L'essai « MISSION DE PRÉLÈVEMENT » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Préparation d'échantillons,"mission, prelevement, préparation, échantillon",Basse,"mission_prelevement_norme, mission_prelevement_delai"
determination_teneur_chrome_norme,Selon quelle norme réalisez-vous l'essai « DÉTERMINATION DE LA TENEUR EN CHROME (Cr)-(semi-quantitatif) » ?,norme détermination de la teneur en chrome (cr)-(semi-quantitatif) | référence normative de l'essai détermination de la teneur en chrome (cr)-(semi-quantitatif) | quelle norme utilisez-vous pour cet essai ? | détermination de la teneur en chrome (cr)-(semi-quantitatif) norme applicable,L'essai « DÉTERMINATION DE LA TENEUR EN CHROME (Cr)-(semi-quantitatif) » est réalisé selon **NF EN 196-2**.,Le laboratoire réalise l'essai « DÉTERMINATION DE LA TENEUR EN CHROME (Cr)-(semi-quantitatif) » selon **NF EN 196-2**.,Analyses chimiques - Ciment,"determination, teneur, chrome, ciment, analyse chimique",Moyenne,"determination_teneur_chrome_delai, determination_teneur_chrome_accreditation"
determination_teneur_chrome_delai,Quel est le délai de réalisation de l'essai « DÉTERMINATION DE LA TENEUR EN CHROME (Cr)-(semi-quantitatif) » ?,délai de l'essai détermination de la teneur en chrome (cr)-(semi-quantitatif) | combien de temps prend l'essai détermination de la teneur en chrome (cr)-(semi-quantitatif) ? | quand aurai-je les résultats pour détermination de la teneur en chrome (cr)-(semi-quantitatif) | temps de traitement détermination de la teneur en chrome (cr)-(semi-quantitatif),Le délai de réalisation de l'essai « DÉTERMINATION DE LA TENEUR EN CHROME (Cr)-(semi-quantitatif) » est de **19 jours**.,Le laboratoire réalise l'essai « DÉTERMINATION DE LA TENEUR EN CHROME (Cr)-(semi-quantitatif) » dans un délai de **19 jours** à compter de la réception de l'échantillon.,Analyses chimiques - Ciment,"determination, teneur, chrome, ciment, analyse chimique",Moyenne,"determination_teneur_chrome_norme, determination_teneur_chrome_accreditation"
determination_teneur_chrome_accreditation,L'essai « DÉTERMINATION DE LA TENEUR EN CHROME (Cr)-(semi-quantitatif) » est-il accrédité ?,accréditation de l'essai détermination de la teneur en chrome (cr)-(semi-quantitatif) | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour détermination de la teneur en chrome (cr)-(semi-quantitatif) | détermination de la teneur en chrome (cr)-(semi-quantitatif) accrédité,"Non, l'essai « DÉTERMINATION DE LA TENEUR EN CHROME (Cr)-(semi-quantitatif) » n'est pas accrédité.",L'essai « DÉTERMINATION DE LA TENEUR EN CHROME (Cr)-(semi-quantitatif) » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Analyses chimiques - Ciment,"determination, teneur, chrome, ciment, analyse chimique",Moyenne,"determination_teneur_chrome_norme, determination_teneur_chrome_delai"
determination_teneur_silicium_norme,Selon quelle norme réalisez-vous l'essai « DÉTERMINATION DE LA TENEUR EN SILICIUM (Si)-(fluorescence x) » ?,norme détermination de la teneur en silicium (si)-(fluorescence x) | référence normative de l'essai détermination de la teneur en silicium (si)-(fluorescence x) | quelle norme utilisez-vous pour cet essai ? | détermination de la teneur en silicium (si)-(fluorescence x) norme applicable,L'essai « DÉTERMINATION DE LA TENEUR EN SILICIUM (Si)-(fluorescence x) » est réalisé selon **NF EN 196-2**.,Le laboratoire réalise l'essai « DÉTERMINATION DE LA TENEUR EN SILICIUM (Si)-(fluorescence x) » selon **NF EN 196-2**.,Analyses chimiques - Ciment,"determination, teneur, silicium, ciment, analyse chimique",Moyenne,"determination_teneur_silicium_delai, determination_teneur_silicium_accreditation"
determination_teneur_silicium_delai,Quel est le délai de réalisation de l'essai « DÉTERMINATION DE LA TENEUR EN SILICIUM (Si)-(fluorescence x) » ?,délai de l'essai détermination de la teneur en silicium (si)-(fluorescence x) | combien de temps prend l'essai détermination de la teneur en silicium (si)-(fluorescence x) ? | quand aurai-je les résultats pour détermination de la teneur en silicium (si)-(fluorescence x) | temps de traitement détermination de la teneur en silicium (si)-(fluorescence x),Le délai de réalisation de l'essai « DÉTERMINATION DE LA TENEUR EN SILICIUM (Si)-(fluorescence x) » est de **19 jours**.,Le laboratoire réalise l'essai « DÉTERMINATION DE LA TENEUR EN SILICIUM (Si)-(fluorescence x) » dans un délai de **19 jours** à compter de la réception de l'échantillon.,Analyses chimiques - Ciment,"determination, teneur, silicium, ciment, analyse chimique",Moyenne,"determination_teneur_silicium_norme, determination_teneur_silicium_accreditation"
determination_teneur_silicium_accreditation,L'essai « DÉTERMINATION DE LA TENEUR EN SILICIUM (Si)-(fluorescence x) » est-il accrédité ?,accréditation de l'essai détermination de la teneur en silicium (si)-(fluorescence x) | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour détermination de la teneur en silicium (si)-(fluorescence x) | détermination de la teneur en silicium (si)-(fluorescence x) accrédité,"Non, l'essai « DÉTERMINATION DE LA TENEUR EN SILICIUM (Si)-(fluorescence x) » n'est pas accrédité.",L'essai « DÉTERMINATION DE LA TENEUR EN SILICIUM (Si)-(fluorescence x) » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Analyses chimiques - Ciment,"determination, teneur, silicium, ciment, analyse chimique",Moyenne,"determination_teneur_silicium_norme, determination_teneur_silicium_delai"
determination_teneur_phosphore_norme,Selon quelle norme réalisez-vous l'essai « DÉTERMINATION DE LA TENEUR EN PHOSPHORE (P)-(semi-quantitatif) » ?,norme détermination de la teneur en phosphore (p)-(semi-quantitatif) | référence normative de l'essai détermination de la teneur en phosphore (p)-(semi-quantitatif) | quelle norme utilisez-vous pour cet essai ? | détermination de la teneur en phosphore (p)-(semi-quantitatif) norme applicable,L'essai « DÉTERMINATION DE LA TENEUR EN PHOSPHORE (P)-(semi-quantitatif) » est réalisé selon **NF EN 196-2**.,Le laboratoire réalise l'essai « DÉTERMINATION DE LA TENEUR EN PHOSPHORE (P)-(semi-quantitatif) » selon **NF EN 196-2**.,Analyses chimiques - Ciment,"determination, teneur, phosphore, ciment, analyse chimique",Moyenne,"determination_teneur_phosphore_delai, determination_teneur_phosphore_accreditation"
determination_teneur_phosphore_delai,Quel est le délai de réalisation de l'essai « DÉTERMINATION DE LA TENEUR EN PHOSPHORE (P)-(semi-quantitatif) » ?,délai de l'essai détermination de la teneur en phosphore (p)-(semi-quantitatif) | combien de temps prend l'essai détermination de la teneur en phosphore (p)-(semi-quantitatif) ? | quand aurai-je les résultats pour détermination de la teneur en phosphore (p)-(semi-quantitatif) | temps de traitement détermination de la teneur en phosphore (p)-(semi-quantitatif),Le délai de réalisation de l'essai « DÉTERMINATION DE LA TENEUR EN PHOSPHORE (P)-(semi-quantitatif) » est de **19 jours**.,Le laboratoire réalise l'essai « DÉTERMINATION DE LA TENEUR EN PHOSPHORE (P)-(semi-quantitatif) » dans un délai de **19 jours** à compter de la réception de l'échantillon.,Analyses chimiques - Ciment,"determination, teneur, phosphore, ciment, analyse chimique",Moyenne,"determination_teneur_phosphore_norme, determination_teneur_phosphore_accreditation"
determination_teneur_phosphore_accreditation,L'essai « DÉTERMINATION DE LA TENEUR EN PHOSPHORE (P)-(semi-quantitatif) » est-il accrédité ?,accréditation de l'essai détermination de la teneur en phosphore (p)-(semi-quantitatif) | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour détermination de la teneur en phosphore (p)-(semi-quantitatif) | détermination de la teneur en phosphore (p)-(semi-quantitatif) accrédité,"Non, l'essai « DÉTERMINATION DE LA TENEUR EN PHOSPHORE (P)-(semi-quantitatif) » n'est pas accrédité.",L'essai « DÉTERMINATION DE LA TENEUR EN PHOSPHORE (P)-(semi-quantitatif) » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.,Analyses chimiques - Ciment,"determination, teneur, phosphore, ciment, analyse chimique",Moyenne,"determination_teneur_phosphore_norme, determination_teneur_phosphore_delai"
determination_teneur_sodium_potassium_norme,"Selon quelle norme réalisez-vous l'essai « DÉTERMINATION DE LA TENEUR EN SODIUM ET DU POTASSIUM (Na, K)-(fluorescence x) » ?","norme détermination de la teneur en sodium et du potassium (na, k)-(fluorescence x) | référence normative de l'essai détermination de la teneur en sodium et du potassium (na, k)-(fluorescence x) | quelle norme utilisez-vous pour cet essai ? | détermination de la teneur en sodium et du potassium (na, k)-(fluorescence x) norme applicable","L'essai « DÉTERMINATION DE LA TENEUR EN SODIUM ET DU POTASSIUM (Na, K)-(fluorescence x) » est réalisé selon **NF EN 196-2**.","Le laboratoire réalise l'essai « DÉTERMINATION DE LA TENEUR EN SODIUM ET DU POTASSIUM (Na, K)-(fluorescence x) » selon **NF EN 196-2**.",Analyses chimiques - Ciment,"determination, teneur, sodium, potassium, ciment, analyse chimique",Moyenne,"determination_teneur_sodium_potassium_delai, determination_teneur_sodium_potassium_accreditation"
determination_teneur_sodium_potassium_delai,"Quel est le délai de réalisation de l'essai « DÉTERMINATION DE LA TENEUR EN SODIUM ET DU POTASSIUM (Na, K)-(fluorescence x) » ?","délai de l'essai détermination de la teneur en sodium et du potassium (na, k)-(fluorescence x) | combien de temps prend l'essai détermination de la teneur en sodium et du potassium (na, k)-(fluorescence x) ? | quand aurai-je les résultats pour détermination de la teneur en sodium et du potassium (na, k)-(fluorescence x) | temps de traitement détermination de la teneur en sodium et du potassium (na, k)-(fluorescence x)","Le délai de réalisation de l'essai « DÉTERMINATION DE LA TENEUR EN SODIUM ET DU POTASSIUM (Na, K)-(fluorescence x) » est de **19 jours**.","Le laboratoire réalise l'essai « DÉTERMINATION DE LA TENEUR EN SODIUM ET DU POTASSIUM (Na, K)-(fluorescence x) » dans un délai de **19 jours** à compter de la réception de l'échantillon.",Analyses chimiques - Ciment,"determination, teneur, sodium, potassium, ciment, analyse chimique",Moyenne,"determination_teneur_sodium_potassium_norme, determination_teneur_sodium_potassium_accreditation"
determination_teneur_sodium_potassium_accreditation,"L'essai « DÉTERMINATION DE LA TENEUR EN SODIUM ET DU POTASSIUM (Na, K)-(fluorescence x) » est-il accrédité ?","accréditation de l'essai détermination de la teneur en sodium et du potassium (na, k)-(fluorescence x) | cet essai est-il couvert par l'accréditation ? | portée d'accréditation pour détermination de la teneur en sodium et du potassium (na, k)-(fluorescence x) | détermination de la teneur en sodium et du potassium (na, k)-(fluorescence x) accrédité","Non, l'essai « DÉTERMINATION DE LA TENEUR EN SODIUM ET DU POTASSIUM (Na, K)-(fluorescence x) » n'est pas accrédité.","L'essai « DÉTERMINATION DE LA TENEUR EN SODIUM ET DU POTASSIUM (Na, K)-(fluorescence x) » est proposé par le laboratoire mais ne fait pas partie de sa portée d'accréditation actuelle.",Analyses chimiques - Ciment,"determination, teneur, sodium, potassium, ciment, analyse chimique",Moyenne,"determination_teneur_sodium_potassium_norme, determination_teneur_sodium_potassium_delai"
determination_teneur_plomb_norme,Selon quelle norme réalisez-vous l'essai « DÉTERMINATION DE LA TENEUR EN PLOMB (Pb)-(semi-quantitatif) » ?,norme détermination de la teneur en plomb (pb)-(semi-quantitatif) | référence normative de l'essai détermination de la teneur en plomb (pb)-(semi-quantitatif) | quelle norme utilisez-vous pour cet essai ? | détermination de la teneur en plomb (pb)-(semi-quantitatif) norme applicable,L'essai « DÉTERMINATION DE LA TENEUR EN PLOMB (Pb)-(semi-quantitatif) » est réalisé selon **NF EN 196-2**.,Le laboratoire réalise l'essai « DÉTERMINATION DE LA TENEUR EN PLOMB (Pb)-(semi-quantitatif) » selon **NF EN 196-2**.,Analyses chimiques - Ciment,"determination, teneur, plomb, ciment, analyse chimique",Moyenne,"determination_teneur_plomb_delai, determination_teneur_plomb_accreditation"
